burst,class,3 class,complete,duration,sig_dur,sig_asym,sig_lag,pulse pk flux,sig_pk flux,S(1+2+3),sigS(1+2+3),hr31 (erg),sig hr31 (erg),log10(dur),asymmetry,lag,log10(p256),log10(S),log10(hr31)
BATSE 2985 p08,L,L,I,7.26,0.58,0.012,0.541,0.26,0.051,1.64E-07,1.43E-08,2.397,0.551,0.860936621,0.995,0.38,-1.289739046,-6.784626847,0.379668034
BATSE 2986 p01,L,X,?,5.71,0.58,0.012,0.299,0.388,0.08,3.44E-07,2.24E-08,3.663,0.535,0.756636108,0.373,0.711,-1.095216304,-6.463567824,0.563836919
BATSE 2988 p01,L,I,C,0.8,0.16,0.034,0.086,1.145,0.076,1.41E-07,1.43E-08,3.076,0.67,-0.096910013,0.614,0.14,-1.121870495,-6.849857838,0.487986331
BATSE 2988 p02,L,I,C,0.63,0.13,0.011,0.021,6.532,0.291,6.77E-07,3.37E-08,8.077,0.924,-0.200659451,0.892,0.05,-0.535701575,-6.169603824,0.907250083
BATSE 2994 p01,L,L,I,2.84,0.25,0.107,0.03,7.889,0.249,2.56E-06,6.38E-08,8.998,0.58,0.45331834,0.461,-0.12,-0.604193837,-5.592269272,0.954145989
BATSE 2994 p02,L,L,I,2.82,0.34,0.068,0.055,5.319,0.182,3.36E-06,7.76E-08,33.042,2.822,0.450249108,0.536,0,-0.739276941,-5.474048659,1.519066327
BATSE 2994 p03,L,L,I,1.49,0.18,0.116,0.111,1.786,0.085,4.29E-07,2.83E-08,12.437,1.898,0.173186268,0.765,0.04,-1.070469977,-6.367947833,1.094715634
BATSE 2998 p01,L,L,?,13.5,0.97,0.001,0.285,0.661,0.094,1.04E-06,3.59E-08,1.804,0.154,1.130333768,0.179,1.085,-1.028431015,-5.984640245,0.256236533
BATSE 2998 p02,L,L,?,4.28,0.46,0.049,0.398,0.58,0.084,2.32E-07,1.55E-08,0.792,0.164,0.631443769,0.764,-0.28,-1.076652235,-6.63395079,-0.101274818
BATSE 2998 p03,L,L,?,1.26,0.23,0.007,0.165,0.677,0.096,1.30E-07,1.39E-08,4.074,0.974,0.100370545,0.213,0.16,-1.019840381,-6.886056648,0.610021025
BATSE 3001 p01,L,L,I,7.98,0.64,0.023,0.195,1.156,0.1,8.95E-07,3.73E-08,4.184,0.365,0.902002891,0.961,0,-1.00105898,-6.048176965,0.621591676
BATSE 3001 p02,L,L,I,11.8,0.72,0.02,0.299,0.912,0.085,8.33E-07,3.57E-08,3.881,0.349,1.071882007,0.991,-0.02,-1.072246442,-6.079615758,0.588943643
BATSE 3001 p03,L,L,I,1.68,0.27,0.003,0.196,2.878,0.2,6.32E-07,3.28E-08,12.055,1.632,0.225309282,0.174,0.05,-0.699934293,-6.199557879,1.081167215
BATSE 3001 p04,L,L,I,6.95,0.66,0.001,0.066,0.825,0.079,6.72E-07,3.24E-08,5.238,0.563,0.841984805,0.189,-0.14,-1.101304759,-6.172630727,0.719165494
BATSE 3003 p01,L,L,C,29.02,1.47,0.006,0.373,2.352,0.196,7.71E-06,1.12E-07,6.07,0.192,1.462697408,0.781,0.97,-0.70684904,-5.112889297,0.783188691
BATSE 3005 p01,L,L,C,22.8,1.22,0.019,0.569,0.635,0.105,1.39E-06,4.55E-08,3.775,0.269,1.357934847,0.97,3.317,-0.97915877,-5.856048884,0.576916956
BATSE 3011 p01,L,L,I,15.2,,0.024,,0.937,0.112,,,,,1.181843588,0.7,,-0.949684853,,
BATSE 3011 p02,L,L,I,0.945,0.2,0.082,0.268,1.208,0.139,1.92E-07,1.81E-08,6.999,1.41,-0.024568191,0.868,0.15,-0.855658405,-6.717151397,0.845035994
BATSE 3011 p03,L,L,I,1.19,0.19,0.069,0.146,1.239,0.142,2.33E-07,2.10E-08,32.253,9.881,0.075546961,0.847,-0.09,-0.846246717,-6.633577043,1.508570117
BATSE 3011 p04,L,L,I,2.28,0.29,0.158,0.274,0.888,0.107,2.82E-07,2.22E-08,21.442,5.366,0.357934847,0.999,-0.06,-0.968810182,-6.549442991,1.331265292
BATSE 3011 p05,L,L,I,1.14,0.2,0.073,0.299,0.867,0.105,1.59E-07,1.72E-08,17.111,4.916,0.056904851,0.68,-0.02,-0.977801896,-6.798056937,1.233275391
BATSE 3011 p06,L,L,I,2.44,,0,,0.534,0.071,,,,,0.387389826,0.062,,-1.146122257,,
BATSE 3012 p01,L,L,I,1.83,0.24,0.001,0.186,0.736,0.111,1.23E-07,1.23E-08,2.186,0.578,0.26245109,0.104,-0.123,-0.956018309,-6.909036923,0.339650158
BATSE 3012 p02,L,L,I,2.11,0.24,0.12,0.27,0.486,0.077,8.04E-08,1.02E-08,1.689,0.487,0.324282455,0.989,-1.47,-1.112174075,-7.095014119,0.22762965
BATSE 3012 p03,L,L,I,4.9,0.52,0.075,0.584,0.239,0.044,1.54E-07,1.49E-08,2.432,0.486,0.69019608,0.661,-0.46,-1.359254987,-6.811352704,0.385963571
BATSE 3012 p04,L,L,I,0.803,0.13,0.001,0.249,0.674,0.102,3.43E-08,5.14E-09,0.134,0.201,-0.095284455,0.085,0.08,-0.989463643,-7.464579282,-0.872895202
BATSE 3015 p01,L,L,I,0.743,0.16,0.072,0.201,1.403,0.161,1.24E-07,1.42E-08,6.908,1.816,-0.129011186,0.766,0.11,-0.794405391,-6.905878404,0.839352329
BATSE 3015 p02,L,L,I,1.27,0.25,0.008,0.179,1.118,0.132,1.78E-07,1.63E-08,3.384,0.654,0.103803721,0.221,0.12,-0.87787345,-6.749824052,0.529430354
BATSE 3015 p03,L,L,I,1.94,0.29,0.021,0.21,0.792,0.1,1.60E-07,1.56E-08,3.986,0.836,0.28780173,0.315,0.04,-0.99997857,-6.796695084,0.600537294
BATSE 3015 p04,L,L,I,1.04,0.21,0.009,0.231,0.885,0.109,9.50E-08,1.13E-08,1.948,0.505,0.017033339,0.219,-0.04,-0.961254192,-7.022505031,0.289588953
BATSE 3015 p05,L,L,I,0.897,,0.229,0.343,0.595,0.08,,,,,-0.047207557,0.934,0.12,-1.096381582,,
BATSE 3015 p06,L,L,I,1.89,0.21,0.15,0.273,0.787,0.099,1.02E-07,1.27E-08,3.947,0.995,0.276461804,0.997,0.37,-1.002241449,-6.992252222,0.596267126
BATSE 3015 p07,L,L,I,0.709,0.16,0.104,0.309,1.041,0.125,8.99E-08,1.22E-08,5.556,1.559,-0.149353765,0.804,0.18,-0.903850178,-7.046481919,0.744762237
BATSE 3015 p08,L,L,I,1.02,0.2,0.029,0.251,0.751,0.096,8.61E-08,1.15E-08,6.111,1.972,0.008600172,0.37,0.12,-1.018444495,-7.064895979,0.786112284
BATSE 3015 p09,L,L,I,1.53,0.24,0.086,0.236,0.818,0.103,1.09E-07,1.24E-08,2.558,0.628,0.184691431,0.929,0.19,-0.988848896,-6.960982678,0.40790054
BATSE 3026 p01,L,L,C,10,0.79,0.028,0.229,0.663,0.101,8.43E-07,3.54E-08,3.187,0.281,1,0.808,-0.013,-0.994741654,-6.07443009,0.503382063
BATSE 3028 p01,L,I,I,0.681,0.15,0.058,0.173,0.418,0.064,5.01E-08,8.15E-09,2.037,0.752,-0.166852888,0.582,0.07,-1.190723174,-7.29981567,0.308991029
BATSE 3028 p02,L,I,I,0.39,0.12,0,0.152,0.896,0.128,6.31E-08,8.82E-09,1.438,0.483,-0.408935393,0.044,0.061,-0.894008248,-7.199695422,0.157758886
BATSE 3029 p01,L,L,I,1.65,0.24,0.089,0.383,0.663,0.116,2.23E-07,2.07E-08,20.156,5.07,0.217483944,0.995,-0.22,-0.936603565,-6.651889932,1.30440435
BATSE 3029 p02,L,L,I,0.88,0.18,0.017,0.38,0.287,0.055,5.10E-08,9.38E-09,8.148,3.326,-0.055517328,0.23,0.22,-1.256719699,-7.292770581,0.91105102
BATSE 3030 p01,L,X,C,1.689,0.25,0.052,0.1,1.176,0.135,2.38E-07,1.91E-08,4.259,0.733,0.22762965,0.856,-0.05,-0.871132183,-6.624336386,0.62930764
BATSE 3030 p02,L,X,C,1.326,0.16,0.1,0.165,0.921,0.109,9.28E-08,1.20E-08,4.231,1.162,0.122543524,1,0,-0.961494877,-7.032592443,0.626443025
BATSE 3030 p03,L,X,C,0.54,0.13,0.053,0.114,1.428,0.159,1.02E-07,1.28E-08,5.014,1.324,-0.26760624,0.68,0.04,-0.797854249,-6.993106292,0.70018433
BATSE 3030 p04,L,X,C,0.831,0.18,0.016,0.198,1.048,0.122,1.22E-07,1.38E-08,4.731,1.159,-0.080398976,0.34,0.07,-0.913893828,-6.913284336,0.674952948
BATSE 3030 p05,L,X,C,1.23,0.2,0.068,0.26,1.006,0.118,1.58E-07,1.60E-08,7.835,1.894,0.089905111,0.844,-0.06,-0.929168986,-6.800519085,0.894039001
BATSE 3032 p01,L,L,I,3.48,0.42,0.02,0.222,0.525,0.057,3.10E-07,2.23E-08,4.819,0.723,0.541579244,0.2,0.5,-1.247624779,-6.508918587,0.682956926
BATSE 3032 p02,L,L,I,1.05,0.15,0.076,0.207,0.672,0.068,7.04E-08,9.97E-09,4.074,1.397,0.021189299,0.942,0,-1.169550664,-7.152303979,0.610021025
BATSE 3032 p03,L,L,I,1.26,0.21,0.177,0.137,1.333,0.116,2.16E-07,1.75E-08,2.958,0.534,0.100370545,0.973,0.22,-0.935673408,-6.664742744,0.47099817
BATSE 3032 p04,L,L,I,2,0.29,0.059,0.085,1.088,0.098,2.68E-07,1.83E-08,1.78,0.296,0.301029996,0.658,0.12,-1.007525383,-6.571703186,0.250420002
BATSE 3032 p05,L,L,I,0.3,0.09,0.029,0.112,1.466,0.126,9.17E-08,1.28E-08,,,-0.522878745,0.18,0.05,-0.901320013,-7.037725395,
BATSE 3032 p06,L,L,I,1.19,0.22,0,0.079,0.357,0.043,5.35E-08,8.09E-09,1.455,0.536,0.075546961,0.308,0.11,-1.363193533,-7.271646218,0.162862993
BATSE 3036 p01,L,X,C,2.06,0.3,0.086,0.453,0.561,0.118,1.39E-07,1.51E-08,6.322,1.505,0.31386722,0.831,-0.251,-0.926879741,-6.85667287,0.800854492
BATSE 3039 p01,L,I,C,1.51,,0.004,,1.359,0.082,,,,,0.178976947,0.116,,-1.086338073,,
BATSE 3039 p02,L,I,C,2.03,0.29,0.094,0.151,2.14,0.112,5.29E-07,2.55E-08,1.42,0.165,0.307496038,0.724,0.38,-0.952471491,-6.276462238,0.152288344
BATSE 3039 p03,L,I,C,1.23,0.21,0.021,0.014,1.944,0.104,4.23E-07,2.65E-08,11.244,1.856,0.089905111,0.919,0.05,-0.98154387,-6.373967752,1.050920837
BATSE 3039 p04,L,I,C,2.15,0.29,0.018,0.022,6.402,0.26,2.10E-06,5.68E-08,4.912,0.297,0.33243846,0.825,0.26,-0.584485108,-5.677573948,0.691258358
BATSE 3039 p05,L,I,C,2.78,0.25,0.113,0.045,4.426,0.193,1.04E-06,3.86E-08,3.468,0.291,0.444044796,0.752,0.03,-0.715456252,-5.984640245,0.540079089
BATSE 3040 p01,L,L,C,19.57,1.01,0.009,0.31,1.266,0.138,2.08E-06,5.49E-08,3.109,0.177,1.291590826,0.996,0.358,-0.858714628,-5.682354457,0.492620722
BATSE 3042 p01,L,L,I,45.3,1.93,0.045,0.754,0.87,0.077,3.97E-06,7.94E-08,5.939,0.268,1.656098202,0.85,4.347,-1.111086134,-5.401428337,0.773713325
BATSE 3042 p02,L,L,I,2.833,0.35,0.005,0.071,3.231,0.19,1.12E-06,4.44E-08,14.103,1.48,0.452246575,0.315,-0.035,-0.720856789,-5.950781977,1.149311506
BATSE 3042 p03,L,L,I,11.82,0.85,0.026,0.091,2.738,0.168,3.56E-06,7.70E-08,7.729,0.383,1.072617477,0.843,0.753,-0.775024692,-5.448672012,0.888123307
BATSE 3042 p04,L,L,I,53.91,2.25,0.008,0.626,1.39,0.104,8.70E-06,1.21E-07,8.034,0.257,1.731669332,0.633,1.27,-0.981381339,-5.060331016,0.904931827
BATSE 3042 p05,L,L,I,9.41,0.59,0.1,0.292,1.22,0.096,7.98E-07,3.52E-08,4.432,0.418,0.973589623,1,0,-1.018412876,-6.098051535,0.646599752
BATSE 3042 p06,L,L,I,13.54,0.93,0.003,0.11,2.854,0.173,4.48E-06,8.76E-08,9.068,0.413,1.131618664,0.367,-0.08,-0.76151727,-5.34920696,0.957511511
BATSE 3042 p07,L,L,I,3.358,0.4,0,0.141,1.751,0.122,5.76E-07,2.84E-08,6.066,0.827,0.526080692,1,-0.2,-0.913785144,-6.239652921,0.782902406
BATSE 3042 p08,L,L,I,4.57,0.48,0.001,0.053,3.3,0.193,1.76E-06,5.42E-08,7.972,0.566,0.6599162,0.227,0.06,-0.713845486,-5.754981129,0.90156729
BATSE 3042 p09,L,L,I,8.374,0.72,0.003,0.1,1.751,0.122,1.68E-06,5.25E-08,6.579,0.457,0.922932957,0.265,0.12,-0.913785144,-5.774432287,0.818159886
BATSE 3046 p01,L,X,C,3.66,,0.001,0.334,,,,,,,0.563481085,0.128,-0.528,,,
BATSE 3055 p01,L,L,C,1.92,,0,,0.396,0.061,,,,,0.283301229,0.045,,-1.211806969,,
BATSE 3055 p02,L,L,C,29.45,1.56,0.019,0.448,1.466,0.173,4.49E-06,8.33E-08,5.273,0.221,1.469085299,0.799,1.9,-0.760822283,-5.34804393,0.722057771
BATSE 3055 p03,L,L,C,54.88,,0.028,,0.483,0.071,,,,,1.739414103,0.97,,-1.149264508,,
BATSE 3055 p04,L,L,C,18.86,1.17,0.039,0.549,0.581,0.081,7.73E-07,2.92E-08,0.887,0.091,1.275541688,0.958,-0.04,-1.089230692,-6.111932887,-0.05207638
BATSE 3055 p05,L,L,C,6.63,0.67,0.008,0.389,0.663,0.09,3.81E-07,2.12E-08,1.249,0.177,0.821513528,0.287,0.36,-1.045351038,-6.419075024,0.096562438
BATSE 3056 p01,L,L,C,14.22,0.96,0.059,0.323,0.621,0.071,9.44E-07,3.68E-08,3.36,0.293,1.152899596,0.847,0.69,-1.148940951,-6.025258095,0.526339277
BATSE 3056 p02,L,L,C,24.09,1.13,0.015,0.147,1.651,0.152,3.07E-06,6.50E-08,2.301,0.107,1.3818368,0.991,-0.08,-0.817767736,-5.513286224,0.361916619
BATSE 3056 p03,L,L,C,9.26,0.9,0.02,0.487,0.644,0.073,1.20E-06,4.60E-08,11.084,1.022,0.966610987,0.906,-0.19,-1.137694771,-5.922632095,1.044696517
BATSE 3057 p01,L,L,I,2.11,0.27,0.074,0.008,15.09,0.356,4.47E-06,8.92E-08,13.415,0.684,0.324282455,0.769,-0.06,-0.448319813,-5.349692477,1.127590677
BATSE 3057 p02,L,L,I,17.08,1,0.029,0.21,18.308,0.413,4.05E-05,2.61E-07,8.787,0.133,1.232487866,0.961,0.24,-0.384235865,-4.393081474,0.943840626
BATSE 3057 p03,L,L,I,28.54,1.21,0.013,0.317,13.478,0.327,4.16E-05,2.68E-07,10.122,0.156,1.455453969,0.985,0.68,-0.484813857,-4.380697924,1.005266333
BATSE 3057 p04,L,L,I,4.91,0.48,0.031,0.01,17.04,0.391,1.27E-05,1.51E-07,16.701,0.545,0.691081492,0.723,0.18,-0.408264977,-4.894830572,1.222742476
BATSE 3057 p05,L,L,I,11.19,0.71,0.014,0.058,18.195,0.411,2.43E-05,2.06E-07,10.141,0.204,1.048830087,0.986,1.24,-0.386319365,-4.613857891,1.006080783
BATSE 3057 p06,L,L,I,2.69,0.34,0.007,0.01,16.856,0.387,7.63E-06,1.18E-07,19.851,0.887,0.42975228,0.361,0.3,-0.411878105,-5.117475462,1.297782389
BATSE 3057 p07,L,L,I,3.04,0.37,0.041,0.013,10.623,0.276,4.99E-06,9.31E-08,11.661,0.545,0.482873584,0.632,0.22,-0.559467376,-5.301551462,1.066735795
BATSE 3057 p08,L,L,I,4.1,0.44,0.024,0.016,10.046,0.265,6.51E-06,1.07E-07,11.982,0.486,0.612783857,0.613,0.37,-0.576566695,-5.186352305,1.078529315
BATSE 3057 p09,L,L,I,5.44,0.55,0.018,0.043,2.834,0.119,2.19E-06,5.91E-08,6.044,0.367,0.7355989,0.427,0.42,-0.925266246,-5.659555885,0.781324456
BATSE 3067 p01,L,L,I,4.77,0.47,0.012,0.007,16.115,0.383,1.40E-05,1.52E-07,7.274,0.179,0.678518379,0.857,-0.028,-0.416376723,-4.853561865,0.861773297
BATSE 3067 p02,L,L,I,9.4,0.66,0.019,0.018,6.975,0.199,1.13E-05,1.40E-07,11.47,0.355,0.973127854,0.936,0.24,-0.701817013,-4.947306058,1.059563418
BATSE 3067 p03,L,L,I,16.64,1.01,0.028,0.166,1.452,0.072,3.73E-06,7.53E-08,3.235,0.132,1.221153322,0.986,0.64,-1.142676042,-5.428757149,0.509874285
BATSE 3067 p04,L,L,I,6.14,0.55,0.056,0.273,0.694,0.048,7.72E-07,3.55E-08,6.62,0.682,0.788168371,0.769,0.2,-1.321083466,-6.112495226,0.820857989
BATSE 3068 p01,L,I,?,7.86,0.61,0.033,0.257,0.589,0.111,5.56E-07,2.91E-08,4.264,0.487,0.895422546,0.958,-0.266,-0.955421511,-6.255081458,0.629817196
BATSE 3070 p01,L,L,I,12.3,0.92,0.038,0.283,0.73,0.106,1.21E-06,4.43E-08,5.553,0.436,1.089905111,0.42,0.06,-0.976368552,-5.916855857,0.744527673
BATSE 3070 p02,L,L,I,8.67,,0.064,,0.579,0.087,,,,,0.938019097,0.866,,-1.06130628,,
BATSE 3070 p03,L,L,I,1.88,0.3,0.008,0.349,0.619,0.092,1.95E-07,1.85E-08,15.844,4.187,0.274157849,0.213,0.23,-1.037095403,-6.709520187,1.199864834
BATSE 3071 p01,L,L,?,111.5,3.43,0.011,1.006,0.525,0.089,6.85E-06,1.02E-07,3.9,0.125,2.047274867,0.843,3.69,-1.048269169,-5.164246032,0.591064607
BATSE 3072 p01,L,L,C,1.25,,0.147,,0.622,0.132,,,,,0.096910013,0.989,,-0.878629726,,
BATSE 3072 p02,L,L,C,2.43,0.36,0.039,0.331,0.659,0.139,1.48E-07,1.44E-08,3.121,0.691,0.385606274,0.537,0.09,-0.856253957,-6.830619505,0.494293769
BATSE 3074 p01,L,X,C,57.5,2.07,0.026,1.366,0.172,0.05,1.21E-06,4.07E-08,2.271,0.169,1.759667845,0.987,2.32,-1.29917105,-5.916139199,0.356217134
BATSE 3075 p01,L,L,?,21.89,1.19,0.019,0.362,0.753,0.082,1.47E-06,4.35E-08,1.943,0.136,1.340245762,0.899,0.6,-1.084531598,-5.831502516,0.288472801
BATSE 3075 p02,L,L,?,5.15,,0,,0.591,0.069,,,,,0.711807229,0.049,,-1.16256441,,
BATSE 3075 p03,L,L,?,1.34,0.28,0.001,0.062,2.022,0.184,5.28E-07,3.00E-08,6.427,0.763,0.127104798,0.094,0.03,-0.734478015,-6.277695213,0.8080083
BATSE 3075 p04,L,L,?,6.74,0.46,0.028,0.267,1.037,0.106,3.89E-07,2.05E-08,1.065,0.166,0.828659897,0.993,-0.12,-0.976386311,-6.409827168,0.027349608
BATSE 3076 p01,L,L,?,14.34,0.92,0.02,0.235,1.006,0.13,1.58E-06,4.98E-08,4.608,0.309,1.156549151,0.935,0.67,-0.885230091,-5.800793521,0.66351247
BATSE 3084 p01,L,L,?,8.74,0.79,0.011,0.165,0.957,0.106,1.10E-06,4.19E-08,5.287,0.435,0.941511433,0.348,0.72,-0.974970326,-5.960189446,0.72320931
BATSE 3084 p02,L,L,?,1.89,0.22,0,0.524,1.026,0.112,1.73E-07,1.69E-08,17.55,5.403,0.276461804,0.035,0.45,-0.950855992,-6.762205007,1.244277121
BATSE 3084 p03,L,L,?,9.04,0.6,0.1,0.2,1.051,0.114,7.02E-07,3.22E-08,3.294,0.321,0.95616843,1,0.19,-0.9425784,-6.153415497,0.517723595
BATSE 3084 p04,L,L,?,0.72,,0,,1.398,0.144,,,,,-0.142667504,0.046,,-0.841372315,,
BATSE 3084 p05,L,L,?,0.77,0.16,0.085,0.124,1.715,0.171,1.49E-07,1.56E-08,4.889,1.047,-0.113509275,0.872,-0.05,-0.766386639,-6.825649403,0.689220037
BATSE 3085 p01,L,L,?,3.801,0.35,0.1,0.181,0.595,0.084,1.40E-07,1.27E-08,1.379,0.34,0.57989787,1,-0.092,-1.074675353,-6.853871964,0.139564266
BATSE 3085 p02,L,L,?,8.94,0.63,0.047,0.53,0.365,0.058,2.66E-07,1.97E-08,3.316,0.534,0.951337519,0.991,-0.107,-1.238075056,-6.575445023,0.520614522
BATSE 3085 p03,L,L,?,1.358,0.23,0.054,0.157,1.051,0.135,1.68E-07,1.63E-08,5.616,1.213,0.13289977,0.864,0.085,-0.869344995,-6.775725986,0.749427099
BATSE 3088 p01,L,X,C,6.268,0.54,0.051,0.386,0.424,0.113,2.25E-07,1.71E-08,1.678,0.285,0.797128988,0.984,-0.287,-0.947901148,-6.648783655,0.224791956
BATSE 3089 p01,L,X,?,4.406,0.46,0.017,0.086,1.613,0.14,8.34E-07,3.55E-08,4.398,0.417,0.644044493,0.377,-0.404,-0.854157617,-6.078625705,0.643255225
BATSE 3089 p02,L,X,?,0.9946,0.19,0.086,0.169,1.333,0.12,2.41E-07,2.15E-08,18.704,4.401,-0.002351545,0.917,-0.261,-0.921059653,-6.617262734,1.271934494
BATSE 3089 p03,L,X,?,0.3914,0.12,0.098,0.199,1.701,0.146,1.21E-07,1.39E-08,24.444,10.779,-0.407379179,0.856,0.025,-0.835294177,-6.916855857,1.388172275
BATSE 3089 p04,L,X,?,2.908,0.38,0.004,0.104,1.504,0.132,5.70E-07,2.95E-08,5.085,0.601,0.463594402,0.223,0.132,-0.879013413,-6.244125144,0.706290957
BATSE 3089 p05,L,X,?,3.256,0.31,0.1,0.094,1.867,0.158,4.88E-07,2.69E-08,3.984,0.488,0.512684396,1,0,-0.801650916,-6.311669182,0.60031933
BATSE 3089 p06,L,X,?,2.455,0.29,0.06,0.296,0.822,0.083,2.09E-07,1.80E-08,5.685,1.136,0.390051496,0.946,0.328,-1.082367174,-6.679230772,0.754730469
BATSE 3091 p01,L,L,?,15.41,0.94,0.021,0.319,0.577,0.097,8.73E-07,3.38E-08,1.859,0.164,1.187802639,0.974,0.035,-1.01499665,-6.058936012,0.26927939
BATSE 3093 p01,L,L,I,17.84,,0.023,0.687,0.396,0.056,,,,,1.25139485,0.473,,-1.253233895,,
BATSE 3093 p02,L,L,I,1.3,0.27,0.073,0.355,0.347,0.051,5.39E-08,7.58E-09,2.222,1.128,0.113943352,0.352,0.02,-1.291988215,-7.268653024,0.346744055
BATSE 3093 p03,L,L,I,5.98,0.5,0.055,0.195,0.839,0.097,4.41E-07,2.56E-08,3.879,0.497,0.776701184,0.942,0.55,-1.011466586,-6.356054087,0.58871978
BATSE 3093 p04,L,L,I,8.86,0.81,0.095,0.807,0.222,0.038,2.53E-07,1.95E-08,3.662,0.599,0.947433722,0.672,-0.18,-1.419261919,-6.596536299,0.56371834
BATSE 3093 p05,L,L,I,15.65,1.11,0.013,0.383,0.55,0.071,9.88E-07,3.78E-08,3.038,0.251,1.194514342,0.419,-0.13,-1.151104742,-6.005462896,0.48258777
BATSE 3093 p06,L,L,I,1.39,0.17,0.221,0.094,1.394,0.147,1.52E-07,1.59E-08,7.545,1.802,0.1430148,0.987,-0.05,-0.831539415,-6.819014419,0.877659244
BATSE 3096 p01,L,L,C,10.4,0.81,0.017,0.084,1.52,0.147,1.65E-06,4.88E-08,3.057,0.196,1.017033339,0.724,0.62,-0.832398132,-5.782516056,0.485295439
BATSE 3096 p02,L,L,C,1.559,0.24,0.095,0.179,0.746,0.084,1.22E-07,1.37E-08,4.194,1.01,0.192846115,0.972,-0.16,-1.077055807,-6.912573543,0.622628426
BATSE 3096 p03,L,L,C,2.34,0.32,0.069,0.166,0.86,0.093,2.09E-07,1.72E-08,3.162,0.584,0.369215857,0.907,0.316,-1.030330905,-6.68006156,0.499961866
BATSE 3099 p01,L,X,?,19.77,1.19,0.015,0.374,,,2.04E-06,5.64E-08,4.653,0.277,1.296006669,0.485,0.06,,-5.689944262,0.667733053
BATSE 3099 p02,L,X,?,0.88,0.18,0,0.095,,,1.30E-07,1.36E-08,2.861,0.65,-0.055517328,0.048,-0.03,,-6.887394998,0.456517858
BATSE 3099 p03,L,X,?,2.97,0.33,0.022,0.056,,,6.88E-07,3.24E-08,4.463,0.463,0.472756449,0.979,-0.09,,-6.162159138,0.649626887
BATSE 3099 p04,L,X,?,23.392115,0.88,0.03,0.414,,,1.10E-06,4.05E-08,3.588,0.284,1.36906949,1,-0.877,,-5.957424488,0.554852434
BATSE 3099 p05,L,X,?,1.17,0.19,0.024,0.043,,,5.47E-07,3.02E-08,9.577,1.303,0.068185862,0.924,-0.02,,-6.261933285,0.981229487
BATSE 3099 p06,L,X,?,3.53,0.32,0.071,0.074,,,5.87E-07,2.96E-08,3.685,0.401,0.547774705,1,0.17,,-6.231213953,0.566437492
BATSE 3100 p01,L,L,I,81.9,2.93,0.015,0.893,0.285,0.045,3.73E-06,7.51E-08,3.278,0.135,1.913283902,0.991,9.11,-1.348823243,-5.428524096,0.515608949
BATSE 3100 p02,L,L,I,26.03,1.28,0.044,0.598,0.407,0.059,1.30E-06,4.20E-08,3.259,0.258,1.415474168,0.763,-3.606,-1.227483131,-5.886056648,0.51308436
BATSE 3100 p03,L,L,I,15.43,0.54,0.026,0.402,0.768,0.101,3.79E-07,1.62E-08,0.085,0.029,1.188365926,0.837,0.64,-0.994470698,-6.421475395,-1.070581074
BATSE 3100 p04,L,L,I,0.0566,0.28,0.034,0.446,6.154,0.719,1.20E-06,3.20E-08,0.317,0.037,-1.247183569,0.363,0.41,-0.142980412,-5.919373513,-0.498940738
BATSE 3101 p01,L,L,C,3.95,0.44,0.006,0.103,1.428,0.144,8.11E-07,3.71E-08,9.813,1.089,0.596597096,0.262,-0.182,-0.841503951,-6.09108626,0.991801799
BATSE 3101 p02,L,L,C,6.24,0.54,0.027,0.118,1.118,0.117,7.00E-07,3.17E-08,2.842,0.276,0.79518459,0.943,0.12,-0.93080254,-6.155088126,0.453624074
BATSE 3101 p03,L,L,C,8.35,0.67,0.02,0.108,1.316,0.134,1.18E-06,4.11E-08,3.108,0.239,0.921686475,0.879,0.27,-0.871601866,-5.929223537,0.49248101
BATSE 3101 p04,L,L,C,0.957,0.19,0,0.202,1.031,0.11,1.74E-07,1.76E-08,12.61,3.165,-0.019088062,0.03,0.11,-0.959423928,-6.760450279,1.100715087
BATSE 3102 p01,L,L,?,29.27,1.52,0.07,0.789,0.386,0.068,1.43E-06,4.82E-08,13.361,1.309,1.466422722,0.805,2.056,-1.167145462,-5.84375381,1.125838964
BATSE 3102 p02,L,L,?,35.31,1.61,0.025,0.63,0.588,0.096,2.26E-06,5.99E-08,5.96,0.356,1.547897718,0.923,-0.71,-1.015490111,-5.645699438,0.77524626
BATSE 3102 p03,L,L,?,4.12,0.46,0.149,1.259,0.216,0.044,1.09E-07,1.31E-08,5.845,1.588,0.614897216,0.798,0.53,-1.360119365,-6.964570262,0.766784515
BATSE 3103 p01,L,X,?,16.95,1.11,0.061,1.228,0.147,0.036,4.96E-07,2.89E-08,10.8,1.597,1.229169703,0.689,3.73,-1.442570779,-6.304255725,1.033423755
BATSE 3103 p02,L,X,?,10.19,0.82,0.001,0.32,0.373,0.081,5.82E-07,2.85E-08,2.583,0.277,1.008174184,0.09,0.37,-1.093873283,-6.234927799,0.412124406
BATSE 3108 p01,L,X,C,4.033,0.44,0.045,0.391,,,2.09E-07,1.74E-08,2.546,0.438,0.605628222,0.627,0.147,,-6.680893941,0.405858399
BATSE 3109 p01,L,L,C,14.64,0.99,0.022,0.225,0.828,0.119,1.45E-06,4.73E-08,5.138,0.377,1.165541077,0.568,0.05,-0.923740915,-5.839231438,0.7107941
