burst,class,3 class,complete,duration,sig_dur,sig_asym,sig_lag,pulse pk flux,sig_pk flux,S(1+2+3),sigS(1+2+3),hr31 (erg),sig hr31 (erg),log10(dur),asymmetry,lag,log10(p256),log10(S),log10(hr31)
BATSE 2727 p02,L,X,C,9.49,0.73,0.1,0.923,0.243,0.068,3.58E-07,2.48E-08,9.715,1.605,0.977266212,0.781,-0.89,-1.169749744,-6.446116973,0.987442805
BATSE 2727 p03,L,X,C,10.69,,0.1,0.988,0.154,0.045,,,,,1.028977705,0.664,-0.16,-1.342882796,,
BATSE 2728 p01,L,S,C,0.534,0.09,0.072,0.15,0.89,0.074,7.00E-08,1.09E-08,5.752,1.823,-0.272458743,0.781,0.073,-1.127879908,-7.155026062,0.759818877
BATSE 2728 p02,L,S,C,0.992,0.17,0.012,0.089,2.41,0.176,6.46E-07,3.45E-08,16.964,2.419,-0.003488328,0.493,0.058,-0.75509639,-6.189633046,1.229528264
BATSE 2728 p03,L,S,C,1.15,0.18,0.022,0.088,2.108,0.156,5.63E-07,3.14E-08,10.551,1.407,0.06069784,0.826,-0.07,-0.807471572,-6.249568751,1.023293623
BATSE 2749 p01,L,L,C,3.95,0.43,0.025,0.096,1.027,0.126,4.88E-07,2.53E-08,1.901,0.225,0.596597096,0.899,0.328,-0.898470921,-6.311669182,0.278982117
BATSE 2750 p01,L,X,C,15.46,0.94,0.031,0.429,0.352,0.081,7.43E-07,3.33E-08,3.6,0.345,1.18920949,0.956,0.634,-1.08959336,-6.129303542,0.556302501
BATSE 2751 p01,L,X,C,35.72,1.98,0.045,1.666,0.149,0.048,1.00E-06,4.00E-08,5.504,0.481,1.55291145,0.719,5.61,-1.322527746,-5.998699067,0.740678425
BATSE 2753 p01,L,L,I,11.95,0.87,0.002,0.756,0.214,0.04,3.30E-07,2.21E-08,4.32,0.661,1.077367905,0.104,0.274,-1.398449272,-6.480959961,0.635483747
BATSE 2753 p02,L,L,I,2.05,0.28,0.098,0.243,0.535,0.082,1.46E-07,1.53E-08,5.914,1.38,0.311753861,0.788,0.02,-1.083931671,-6.836838625,0.77188132
BATSE 2753 p03,L,L,I,3.37,0.35,0.058,0.284,0.614,0.093,2.02E-07,1.64E-08,3.808,0.808,0.527629901,0.754,0.52,-1.03286432,-6.694004117,0.58069694
BATSE 2753 p04,L,L,I,1.1,0.35,0.001,0.327,0.246,0.044,1.19E-07,1.48E-08,7.978,2.002,0.041392685,0.043,0.39,-1.353883092,-6.923359556,0.901894032
BATSE 2753 p05,L,L,I,3.01,0.33,0.051,0.2,0.634,0.095,1.94E-07,1.65E-08,2.775,0.525,0.478566496,0.988,-0.04,-1.021007669,-6.712422191,0.443262987
BATSE 2760 p01,L,I,C,6.23,0.59,0.015,0.22,0.659,0.108,5.16E-07,2.36E-08,0.977,0.13,0.794488047,0.61,0.693,-0.965830764,-6.287518662,-0.010105436
BATSE 2767 p01,L,X,C,2.09,0.31,0.012,0.345,0.357,0.1,1.04E-07,1.24E-08,3.934,1.042,0.320146286,0.264,0.333,-0.99916276,-6.98505965,0.594834356
BATSE 2770 p01,L,L,?,41.96,,0.063,,0.196,0.045,,,,,1.62283548,0.979,,-1.34925656,,
BATSE 2770 p02,L,L,?,59.46,2.15,0.025,1.226,0.303,0.065,2.50E-06,6.52E-08,8.254,0.49,1.774224905,0.935,1.04,-1.190139886,-5.601886308,0.916664465
BATSE 2774 p01,L,X,C,55.38,2.23,0.024,1.011,0.284,0.071,2.10E-06,5.64E-08,3.293,0.181,1.743352951,0.936,-0.82,-1.149854011,-5.676954265,0.517591731
BATSE 2775 p01,L,X,?,13.41,0.92,0.081,0.583,0.142,0.041,3.25E-07,2.29E-08,3.506,0.467,1.127428778,0.619,-1.69,-1.383349568,-6.488250289,0.544811912
BATSE 2775 p02,L,X,?,4.54,0.43,0.151,1.129,0.142,0.041,7.65E-08,9.41E-09,3.447,1.412,0.657055853,0.8,-0.46,-1.383349568,-7.11662251,0.537441283
BATSE 2790 p01,L,L,I,2.34,0.48,0.075,0.155,1.102,0.093,8.89E-07,4.12E-08,24.182,3.32,0.369215857,0.765,0.15,-1.031256538,-6.051147094,1.383492217
BATSE 2790 p02,L,L,I,14.81,0.97,0.003,0.226,1.471,0.115,2.12E-06,5.24E-08,2.021,0.118,1.170555059,0.16,2.21,-0.938250499,-5.674689628,0.305566314
BATSE 2790 p03,L,L,I,3.81,0.43,0.072,0.09,2.178,0.157,1.33E-06,4.87E-08,17.021,1.744,0.580924976,0.925,-0.12,-0.804555785,-5.877129077,1.230985072
BATSE 2790 p04,L,L,I,3.18,0.36,0.005,0.199,1.211,0.1,4.93E-07,2.87E-08,10.217,1.499,0.50242712,0.146,-0.13,-1.001504958,-6.307153081,1.009323393
BATSE 2790 p05,L,L,I,2.68,0.29,0.097,0.237,1.154,0.096,2.93E-07,2.12E-08,7.593,1.419,0.428134794,0.925,0.12,-1.016686292,-6.532984182,0.8804134
BATSE 2790 p06,L,L,I,5.42,0.6,0.185,0.296,0.707,0.068,5.80E-07,3.01E-08,4.121,0.443,0.733999287,0.873,-0.63,-1.165554127,-6.236871623,0.615002615
BATSE 2790 p07,L,L,I,5.19,0.52,0.002,0.068,2.356,0.167,1.62E-06,5.12E-08,6.777,0.49,0.715167358,0.12,0.1,-0.776852007,-5.78994915,0.831037486
BATSE 2790 p08,L,L,I,2.74,0.36,0.008,0.144,1.102,0.093,3.85E-07,2.41E-08,4.589,0.647,0.437750563,0.157,0.12,-1.031256538,-6.41453927,0.661718058
BATSE 2790 p09,L,L,I,11.82,0.84,0.024,0.154,1.332,0.107,1.56E-06,4.56E-08,2.21,0.148,1.072617477,0.923,-0.83,-0.970705939,-5.807990407,0.344392274
BATSE 2799 p01,L,I,C,3.27,0.38,0.022,0.048,1.942,0.109,8.17E-07,3.45E-08,3.182,0.29,0.514547753,0.899,0.134,-0.962858106,-6.087777943,0.502700175
BATSE 2799 p02,L,I,C,0.901,0.18,0.003,0.019,4.801,0.217,6.89E-07,3.27E-08,4.598,0.472,-0.045275209,0.324,0.04,-0.664425837,-6.161591722,0.662568967
BATSE 2799 p03,L,I,C,0.85,0.13,0.32,0.066,1.819,0.104,1.42E-07,1.45E-08,2.648,0.545,-0.070581074,0.999,0.02,-0.98276611,-6.846490011,0.422917981
BATSE 2810 p01,L,S,C,4.02,0.44,0.035,0.231,0.787,0.125,4.36E-07,2.71E-08,6.821,0.914,0.604226053,0.793,0.407,-0.902180485,-6.360912129,0.83384805
BATSE 2812 p01,L,L,I,3.77,0.42,0.015,0.029,4.69,0.226,1.83E-06,5.40E-08,5.416,0.348,0.57634135,0.775,0.04,-0.646263396,-5.738023809,0.733678656
BATSE 2812 p02,L,L,I,4.51,0.55,0.151,0.296,0.563,0.058,3.27E-07,2.24E-08,5.741,0.924,0.654176542,0.303,-0.18,-1.234523736,-6.48598382,0.758987547
BATSE 2812 p03,L,L,I,2.46,0.32,0.01,0.021,6.133,0.278,1.77E-06,5.55E-08,9.225,0.662,0.390935107,0.247,0.03,-0.556539096,-5.751046385,0.964966375
BATSE 2830 p01,L,I,C,5.88,0.53,0.037,0.188,0.486,0.092,3.14E-07,1.90E-08,1.019,0.156,0.769377326,0.998,-0.22,-1.035238731,-6.503208684,0.008174184
BATSE 2843 p01,L,L,?,10.86,0.66,0.051,0.408,0.426,0.06,4.48E-07,2.73E-08,5.951,0.765,1.035829825,0.956,0.043,-1.218873399,-6.348915911,0.77458995
BATSE 2843 p02,L,L,?,1.11,0.22,0.01,0.195,1.074,0.127,2.07E-07,1.89E-08,7.178,1.387,0.045322979,0.302,-0.05,-0.89492182,-6.683819901,0.856003454
BATSE 2843 p03,L,L,?,7.12,0.45,0.065,0.555,0.52,0.07,2.84E-07,2.15E-08,5.373,0.858,0.852479994,0.957,0.76,-1.152918301,-6.547446937,0.730216841
BATSE 2844 p01,L,I,C,0.495,0.12,0.095,0.404,0.687,0.131,5.20E-08,9.43E-09,9.167,3.895,-0.305394801,0.798,-0.048,-0.881436348,-7.283746174,0.962227231
BATSE 2844 p02,L,I,C,1.14,0.22,0.086,0.18,0.605,0.117,7.98E-08,1.00E-08,1.481,0.432,0.056904851,0.848,-0.03,-0.932053789,-7.097997109,0.170555059
BATSE 2848 p01,L,X,C,11.63,0.78,0.036,0.484,0.278,0.076,4.36E-07,2.54E-08,3.938,0.513,1.065579715,0.987,0.379,-1.120005161,-6.360912129,0.595275712
BATSE 2850 p01,L,X,C,3.08,0.39,0.045,0.24,0.322,0.07,1.82E-07,1.47E-08,1.278,0.259,0.488550717,0.751,0.024,-1.154230842,-6.740167301,0.106530854
BATSE 2851 p01,L,X,C,3.71,0.4,0.062,0.287,0.448,0.105,1.92E-07,1.71E-08,3.557,0.656,0.56937391,0.852,0.15,-0.978922089,-6.717377887,0.551083865
BATSE 2858 p01,L,X,I,4.86,0.49,0.022,1.522,0.128,0.034,7.61E-08,9.73E-09,1.389,0.415,0.686636269,0.279,0.07,-1.464532177,-7.11844417,0.142702246
BATSE 2862 p01,L,L,C,3.98,0.4,0.037,0.231,0.651,0.108,2.28E-07,1.74E-08,2.037,0.349,0.599883072,0.991,-0.04,-0.967166631,-6.642255675,0.308991029
BATSE 2877 p01,L,L,I,18.16,1,0.138,0.421,0.471,0.058,9.12E-07,3.78E-08,4.059,0.345,1.259115844,0.863,-0.02,-1.237524153,-6.040195683,0.608419051
BATSE 2877 p02,L,L,I,7.2,0.68,0.052,0.176,0.723,0.079,7.14E-07,3.26E-08,3.817,0.382,0.857332496,0.674,-0.1,-1.100597425,-6.146545159,0.58172216
BATSE 2877 p03,L,L,I,1.08,0.42,0.039,0.137,0.951,0.098,3.44E-07,2.03E-08,1.333,0.196,0.033423755,0.936,-0.009,-1.008107808,-6.463062977,0.124830149
BATSE 2880 p01,L,L,C,4.67,0.46,0.013,0.051,2.458,0.185,1.28E-06,4.40E-08,4.227,0.318,0.669316881,0.949,0.132,-0.732622043,-5.894149326,0.626032248
BATSE 2891 p01,L,L,I,1.29,,0.242,,2.172,0.119,,,,,0.11058971,0.91,,-0.923923229,,
BATSE 2891 p02,L,L,I,5.19,0.43,0.046,0.017,6.666,0.28,4.58E-06,9.17E-08,23.801,1.477,0.715167358,0.865,0.01,-0.552896126,-5.339419088,1.376595204
BATSE 2891 p03,L,L,I,3.65,0.34,0.052,0.035,3.211,0.158,1.40E-06,4.91E-08,16.33,1.659,0.562292864,0.971,0.15,-0.802297207,-5.854492829,1.212986185
BATSE 2891 p04,L,L,I,2.52,0.29,0.02,0.095,3.487,0.168,1.31E-06,4.89E-08,34.019,4.647,0.401400541,3.31,-0.08,-0.775515906,-5.883060353,1.531721543
BATSE 2891 p05,L,L,I,3.09,0.31,0.056,0.082,3.704,0.175,1.54E-06,5.29E-08,24.403,2.663,0.489958479,0.88,0.02,-0.755765394,-5.813608784,1.38744322
BATSE 2897 p01,L,L,I,22.02,1.21,0.002,0.277,1.027,0.09,1.99E-06,4.38E-08,0.551,0.041,1.342817315,0.943,1.19,-1.045365692,-5.702239489,-0.258848401
BATSE 2897 p02,L,L,I,5.77,0.59,0.025,0.067,1.167,0.1,9.32E-07,3.52E-08,2.323,0.204,0.761175813,0.366,-0.22,-1.001921951,-6.030584088,0.36604921
BATSE 2898 p01,L,L,?,11.98,0.56,0.028,0.3,0.553,0.104,4.34E-07,2.59E-08,32.864,8.996,1.078456818,0.992,0.16,-0.984840176,-6.363010898,1.516720422
BATSE 2898 p02,L,L,?,16.22,0.83,0.043,0.767,0.278,0.058,3.27E-07,2.11E-08,2.346,0.338,1.21005085,0.997,-0.67,-1.239799248,-6.485053995,0.370328008
BATSE 2901 p01,L,L,?,13.13,0.85,0.03,0.578,0.348,0.077,4.52E-07,1.91E-08,0.235,0.047,1.118264726,0.971,-0.807,-1.110863343,-6.344669442,-0.628932138
